"","Source","Target"
"1","https://simple.wikipedia.org/wiki/Blue_box","Tool"
"2","Tool","Task"
"3","Tool","Stone_Age"
"4","Tool","Bronze_Age"
"5","Tool","Hammer"
"6","Tool","Wrench"
"7","Tool","Saw"
"8","Tool","Shovel"
"9","Tool","Telephone"
"10","Tool","Computer"
"11","Tool","Knife"
"12","Tool","Pen"
"13","Tool","Pencil"
"14","Tool","Weapon"
"15","Tool","Human"
"16","Tool","Multimedia"
"17","https://simple.wikipedia.org/wiki/Blue_box","Telephone"
"18","Telephone","Communication"
"19","Telephone","Tool"
"20","Telephone","Electric"
"21","Telephone","Analogue"
"22","Telephone","Speech"
"23","Telephone","Electronic"
"24","Telephone","Digital_signal"
"25","Telephone","Radio"
"26","Telephone","Two"
"27","Telephone","People"
"28","Telephone","Wire"
"29","Telephone","Wireless"
"30","Telephone","Digital_Enhanced_Cordless_Telecommunications"
"31","Telephone","Alexander_Graham_Bell"
"32","Telephone","Patent"
"33","Telephone","Mobile_phone"
"34","Telephone","1980s"
"35","Telephone","Communications_satellite"
"36","Telephone","Computer"
"37","Telephone","Modem"
"38","Telephone","Digital_subscriber_line"
"39","Telephone","Computer_network"
"40","Telephone","Internet"
"41","Telephone","Coins"
"42","Telephone","Credit_card"
"43","Telephone","Prepaid_card"
"44","Telephone","Network"
"45","Telephone","Less_developed_countries"
"46","Telephone","List_of_country_calling_codes"
"47","Telephone","Multimedia"
"48","https://simple.wikipedia.org/wiki/Blue_box","Sound"
"49","Sound","English_language"
"50","Sound","Water"
"51","Sound","Bay"
"52","Sound","Canal"
"53","Sound","Hearing"
"54","Sound","Media"
"55","Sound","Ear"
"56","Sound","Vibration"
"57","Sound","Drum"
"58","Sound","Cymbal"
"59","Sound","Air"
"60","Sound","Molecule"
"61","Sound","Eardrum"
"62","Sound","Music"
"63","Sound","Noise"
"64","Sound","Longitudinal_wave"
"65","Sound","Compression"
"66","Sound","Sequence"
"67","Sound","Speed_of_sound"
"68","Sound","Solid"
"69","Sound","Liquid"
"70","Sound","Gas"
"71","Sound","Vacuum"
"72","Sound","Astronaut"
"73","Sound","Radio"
"74","Sound","Stone"
"75","Sound","Iron"
"76","Sound","Steel"
"77","Sound","Piano"
"78","Sound","Octave"
"79","Sound","Decibel"
"80","Sound","Frequency"
"81","Sound","Hertz"
"82","Sound","Human_being"
"83","Sound","Ultrasound"
"84","Sound","Infrasound"
"85","Sound","Bat"
"86","Sound","Dolphin"
"87","Sound","Doppler_effect"
"88","https://simple.wikipedia.org/wiki/Blue_box","Company"
"89","Company","Business"
"90","Company","Corporation"
"91","Company","Goods"
"92","Company","Profit"
"93","Company","Employee"
"94","https://simple.wikipedia.org/wiki/Blue_box","Employee"
"95","Employee","Company"
"96","Employee","Organisation"
"97","Employee","Employer"
"98","Employee","Job"
"99","Employee","Corporation"
"100","Employee","Client"
"101","Employee","Recruitment"
"102","Employee","Interview"
"103","https://simple.wikipedia.org/wiki/Blue_box","Program"
"104","Program","Government"
"105","Program","Health"
"106","Program","Country"
"107","Program","Food"
"108","Program","Insects"
"109","Program","Disease"
"110","Program","Medical_doctor"
"111","Program","Computer_program"
"112","Program","Computer"
"113","Program","Computer_game"
"114","Program","Web_browser"
"115","Program","Television_programme"
"116","Program","Television"
"117","Program","Radio"
"118","Program","Webcast"
"119","Program","Internet"
"120","Program","Alcohol"
"121","Program","Tobacco"
"122","Program","Drug"
"123","Program","Opera"
"124","Program","Auction"
"125","https://simple.wikipedia.org/wiki/Blue_box","Steve_Wozniak"
"126","Steve_Wozniak","Americans"
"127","Steve_Wozniak","Steve_Jobs"
"128","Steve_Wozniak","Silicon_Valley"
"129","Steve_Wozniak","Kathy_Griffin"
"130","Steve_Wozniak","Ronald_Reagan"
"131","Steve_Wozniak","University_of_Colorado_at_Boulder"
"132","Steve_Wozniak","North_Carolina_State_University"
"133","Steve_Wozniak","Michigan_State_University"
"134","https://simple.wikipedia.org/wiki/Blue_box","Steve_Jobs"
"135","Steve_Jobs","IPhone_4"
"136","Steve_Jobs","Worldwide_Developers_Conference"
"137","Steve_Jobs","San_Francisco"
"138","Steve_Jobs","California"
"139","Steve_Jobs","Pancreatic_cancer"
"140","Steve_Jobs","Switzerland"
"141","Steve_Jobs","Syria"
"142","Steve_Jobs","Reed_College"
"143","Steve_Jobs","CEO"
"144","Steve_Jobs","Pixar"
"145","Steve_Jobs","Zen_Buddhism"
"146","Steve_Jobs","Lutheran"
"147","Steve_Jobs","Chief_Executive_Officer"
"148","Steve_Jobs","The_Walt_Disney_Company"
"149","Steve_Jobs","Shareholder"
"150","Steve_Jobs","Board_of_Directors"
"151","Steve_Jobs","Computer"
"152","Steve_Jobs","Entertainment"
"153","Steve_Jobs","Tumour"
"154","Steve_Jobs","Metastasis"
"155","Steve_Jobs","Adoption"
"156","Steve_Jobs","Silicon_Valley"
"157","Steve_Jobs","Steve_Wozniak"
"158","Steve_Jobs","Personal_computer"
"159","Steve_Jobs","1970s"
"160","Steve_Jobs","1980s"
"161","Steve_Jobs","Commerce"
"162","Steve_Jobs","Computer_mouse"
